FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,Campeche,Mexico,2021-10-27 04:22:32,19.8301,-90.5349,23784,2042,,,"Campeche, Mexico",2376.9334320724115,8.58560376723848
,,Chiapas,Mexico,2021-10-27 04:22:32,16.7569,-93.1292,23125,2260,,,"Chiapas, Mexico",403.5518143951339,9.772972972972973
,,Chihuahua,Mexico,2021-10-27 04:22:32,28.63300000000001,-106.0691,67704,8045,,,"Chihuahua, Mexico",1780.9872820819853,11.882606640671156
,,Ciudad de Mexico,Mexico,2021-10-27 04:22:32,19.4326,-99.1332,967802,39756,,,"Ciudad de Mexico, Mexico",10731.124243165132,4.107865038509943
,,Coahuila,Mexico,2021-10-27 04:22:32,27.0587,-101.7068,92427,7354,,,"Coahuila, Mexico",2871.545210518467,7.956549493113484
,,Colima,Mexico,2021-10-27 04:22:32,19.1223,-104.0072,32944,1973,,,"Colima, Mexico",4195.870104298143,5.988950947061681
,,Durango,Mexico,2021-10-27 04:22:32,24.5593,-104.6588,48448,3013,,,"Durango, Mexico",2592.193883775032,6.219038969616909
,,Guanajuato,Mexico,2021-10-27 04:22:32,21.019000000000002,-101.2574,186367,12478,,,"Guanajuato, Mexico",2992.3211855800455,6.695391351473169
,,Guerrero,Mexico,2021-10-27 04:22:32,17.4392,-99.5451,76022,6093,,,"Guerrero, Mexico",2078.7804808687224,8.014785193759701
,,Hidalgo,Mexico,2021-10-27 04:22:32,20.0911,-98.7624,61700,7715,,,"Hidalgo, Mexico",1999.0837262920659,12.504051863857374
,,Jalisco,Mexico,2021-10-27 04:22:32,20.6595,-103.3494,159993,16959,,,"Jalisco, Mexico",1902.4832416593567,10.599838742945003
,,Mexico,Mexico,2021-10-27 04:22:32,19.4969,-99.7233,372580,43731,,,"Mexico, Mexico",2137.849951141252,11.7373449997316
,,Michoacan,Mexico,2021-10-27 04:22:32,19.5665,-101.7068,72711,7987,,,"Michoacan, Mexico",1506.838499018009,10.98458280040159
,,Morelos,Mexico,2021-10-27 04:22:32,18.6813,-99.1013,49047,4696,,,"Morelos, Mexico",2399.4915995534375,9.574489775113667
,,Nayarit,Mexico,2021-10-27 04:22:32,21.7514,-104.8455,33783,2781,,,"Nayarit, Mexico",2621.7414484727656,8.231950981262765
,,Nuevo Leon,Mexico,2021-10-27 04:22:32,25.5922,-99.9962,202990,12899,,,"Nuevo Leon, Mexico",3618.2613914451176,6.3545002216857975
,,Oaxaca,Mexico,2021-10-27 04:22:32,17.0732,-96.7266,81083,5426,,,"Oaxaca, Mexico",1956.828288878758,6.6919082915037675
,,Puebla,Mexico,2021-10-27 04:22:32,19.0414,-98.2063,123420,15155,,,"Puebla, Mexico",1868.7397332495918,12.279209204342894
,,Queretaro,Mexico,2021-10-27 04:22:32,20.5888,-100.3899,96557,5476,,,"Queretaro, Mexico",4235.630497311633,5.671261534637572
,,Quintana Roo,Mexico,2021-10-27 04:22:32,19.1817,-88.4791,59252,4021,,,"Quintana Roo, Mexico",3438.368811652804,6.786268817930196
,,San Luis Potosi,Mexico,2021-10-27 04:22:32,22.1565,-100.9855,102577,6552,,,"San Luis Potosi, Mexico",3578.9224679028466,6.387396784854305
,,Sinaloa,Mexico,2021-10-27 04:22:32,25.1721,-107.4795,73143,8647,,,"Sinaloa, Mexico",2317.0907100321415,11.822047222564018
,,Sonora,Mexico,2021-10-27 04:22:32,29.2972,-110.3309,111140,8393,,,"Sonora, Mexico",3614.608691127232,7.551736548497391
