Row Labels,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de Mexico,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas,Grand Total
1/19/21,18519,38784,20907,7578,8786,38463,409551,55256,8650,27119,95394,28257,28546,60907,169105,36973,14085,8859,94796,31596,54455,38615,17143,45363,28907,57748,49248,43753,13299,47067,28462,23311,1649502
1/20/21,18739,39121,21097,7604,8807,38566,416989,55619,8694,27279,96588,28547,28821,61634,171125,37264,14357,8937,95533,31811,55005,39150,17293,45855,29098,58365,49502,44376,13413,47227,28558,23422,1668396
1/21/21,19001,39561,21274,7643,8869,38795,424666,56193,8770,27433,97793,28772,29139,62279,173452,37638,14831,9053,96418,32210,55585,39800,17426,46230,29400,58806,49766,44809,13524,47497,28714,23597,1688944
1/22/21,19217,39917,21516,7682,8944,38985,432631,56620,8841,27624,99098,29163,29483,63256,175900,37830,15179,9159,97667,32540,56318,40671,17625,46753,29604,59440,50035,45338,13715,47868,28879,23785,1711283
1/23/21,19445,40325,21795,7718,8985,39271,439547,57183,8953,27780,100177,29406,29756,64072,178259,38043,15625,9234,99023,32924,57063,41641,17807,47269,29819,59929,50309,45763,13805,48360,29078,23926,1732290
1/24/21,19782,40645,22090,7750,9070,39590,445982,57452,9085,27955,101423,29656,30085,65003,180558,38474,16268,9321,100209,33300,57699,42568,17953,47338,29998,60368,50657,46054,13922,48766,29214,24112,1752347
1/25/21,19857,40816,22190,7773,9127,39736,448750,57819,9108,28003,102139,29773,30319,65690,181383,38632,16554,9390,101064,33304,58229,43177,18104,47749,30163,60582,50966,46172,14055,49044,29313,24238,1763219
1/26/21,19940,40992,22347,7800,9165,39775,450590,57995,9157,28081,102976,29895,30498,66323,182039,38814,16686,9459,101527,33451,58724,43542,18209,48054,30321,60706,51224,46258,14088,49385,29406,24313,1771740
1/27/21,20172,41273,22553,7827,9196,40045,456507,58264,9223,28217,103828,30204,30770,67024,183865,39020,17206,9540,102323,33795,59274,44378,18292,48486,30497,61003,51515,46817,14301,49580,29515,24395,1788905
1/28/21,20433,41556,22764,7861,9232,40196,462892,58790,9273,28287,104532,30486,31049,67666,185808,39268,17599,9638,103796,34128,59941,45229,18433,48844,30659,61345,51738,47024,14421,49776,29649,24536,1806849
1/29/21,20725,41815,22933,7888,9259,40351,469098,59351,9319,28457,105498,30856,31289,68541,187955,39559,18101,9782,104668,34462,60596,45881,18516,49368,30853,61746,52009,47455,14538,50144,29792,24714,1825519
1/30/21,20873,41983,23134,7918,9279,40550,474355,59862,9356,28669,106371,31103,31548,69201,189751,39792,18482,9882,105584,34853,60966,46622,18662,49752,30989,62177,52269,47770,14823,50434,29952,24931,1841893
1/31/21,21004,42127,23319,7954,9313,40680,479292,60185,9439,28832,107064,31330,31728,69856,191471,40135,18928,9965,106333,35064,61507,47228,18749,50324,31193,62602,52521,48072,14984,50817,30093,25121,1857230
2/1/21,21037,42199,23489,7962,9331,40714,481327,60370,9476,28869,107381,31457,31829,70078,191963,40315,19254,10000,106878,35079,61772,47467,18828,50677,31262,62912,52732,48136,15083,50995,30185,25203,1864260
2/2/21,21065,42237,23541,7980,9350,40845,482472,60487,9507,28876,107803,31599,31921,70362,192396,40395,19303,10021,107137,35308,61988,47780,18880,50976,31310,63062,52936,48283,15173,51213,30240,25262,1869708
2/3/21,21077,42259,23599,7990,9364,40865,483608,60563,9530,28891,108179,31691,32036,70563,192800,40473,19348,10044,107302,35336,62200,48054,18892,51130,31418,63309,53103,48404,15207,51285,30287,25285,1874092
2/4/21,21251,42447,23706,8017,9390,41013,488328,60789,9569,28947,108483,31867,32181,70974,194299,40637,19636,10071,107867,35679,62473,48449,18945,51465,31521,63637,53366,48652,15311,51467,30432,25376,1886245
2/5/21,21251,42447,23706,8017,9390,41013,488328,60789,9569,28947,108483,31867,32181,70974,194299,40637,19636,10071,107867,35679,62473,48449,18945,51465,31521,63637,53366,48652,15311,51467,30432,25376,1886245
2/6/21,21450,42898,24083,8060,9471,41277,497070,61370,9619,29290,109788,32299,32510,71802,197319,41059,20948,10183,109162,36264,63290,49470,19145,52325,31771,64372,53822,49058,15490,51813,30701,25692,1912871
2/7/21,21507,43024,24323,8085,9540,41370,501240,61630,9676,29423,110658,32511,32669,72089,198614,41243,21985,10219,109700,36498,63812,49932,19229,52841,31904,64675,54062,49223,15640,52146,30778,25834,1926080
2/8/21,21536,43062,24456,8097,9602,41382,502482,61765,9780,29463,111088,32656,32725,72392,199135,41302,22991,10259,109877,36520,63931,50174,19286,53061,31967,64826,54253,49320,15698,52291,30837,25931,1932145
2/9/21,21640,43083,24532,8123,9630,41452,503290,61826,9803,29474,111345,32827,32821,72578,199361,41401,23068,10281,110030,36661,64117,50493,19297,53170,32031,64936,54381,49392,15727,52401,30877,25965,1936013
2/10/21,21799,43202,24634,8146,9647,41559,506748,62066,9852,29561,111876,33040,32964,72967,200473,41507,23765,10326,110460,37026,64431,50962,19332,53465,32165,65148,54666,49585,15824,52532,30993,26030,1946751
2/11/21,21921,43337,24756,8155,9670,41652,510630,62434,9925,29699,112530,33211,33097,73393,201816,41650,23807,10374,110941,37281,65012,51545,19378,53731,32266,65343,54841,49735,15940,52594,31098,26127,1957889
2/12/21,22046,43466,24847,8177,9689,41758,514415,62688,9990,29852,113160,33402,33213,73753,203108,41818,23937,10407,111419,37576,65294,51958,19435,53983,32394,65504,55046,49866,16050,52835,31214,26266,1968566
2/13/21,22115,43566,25068,8212,9708,41851,517866,62859,10024,30027,113650,33599,33359,74090,204460,41895,24166,10438,111835,37854,65777,52326,19500,54220,32571,65677,55222,50155,16158,53000,31341,26365,1978954
2/14/21,22192,43645,25197,8239,9726,41911,521478,63084,10076,30123,114118,33796,33409,74413,205654,42019,24297,10477,112214,38056,66147,52715,19543,54524,32704,65887,55413,50331,16260,53139,31440,26468,1988695
2/15/21,22202,43681,25222,8256,9727,41948,522875,63143,10082,30146,114348,33913,33438,74525,205957,42088,24349,10502,112355,38104,66365,52860,19598,54673,32756,66021,55558,50423,16315,53324,31510,26530,1992794
2/16/21,22212,43693,25328,8287,9759,41995,523677,63175,10097,30152,114426,34019,33484,74623,206257,42107,24387,10510,112466,38254,66549,53021,19603,54787,32792,66138,55649,50458,16348,53515,31550,26574,1995892
2/17/21,22290,43787,25381,8300,9775,42048,527111,63275,10133,30226,114946,34153,33579,74937,207337,42195,24505,10542,112677,38593,66982,53323,19651,54997,32951,66277,55745,50501,16504,53612,31619,26623,2004575
2/18/21,22400,43988,25494,8323,9820,42112,530465,63481,10168,30285,115261,34280,33678,75160,208488,42306,24569,10570,112928,38814,67399,53628,19738,55205,33077,66480,55928,50702,16598,53730,31755,26733,2013563
2/19/21,22490,44084,25586,8342,9827,42224,533825,63635,10208,30382,115858,34398,33729,75521,209581,42374,24877,10592,113155,39020,67765,53956,19784,55495,33176,66650,56086,50806,16675,53892,31846,26823,2022662
2/20/21,22556,44175,25727,8356,9856,42358,536058,63764,10230,30437,116329,34548,33803,75856,210534,42501,25103,10628,113387,39296,68248,54253,19835,55747,33288,66781,56227,50897,16718,54108,31958,26929,2030491
2/21/21,22616,44231,25805,8372,9886,42438,538974,63980,10212,30515,116774,34658,33870,76163,211447,42574,25185,10662,113629,39527,68523,54609,19872,55982,33433,66876,56359,51001,16777,54255,32066,27005,2038276
2/22/21,22621,44246,25877,8387,9894,42449,539990,64016,10229,30531,116938,34707,33923,76298,211705,42662,25201,10683,113744,39546,68704,54750,19896,56164,33468,66941,56488,51045,16809,54305,32124,27039,2041380
2/23/21,22668,44261,25927,8400,9898,42509,540628,64042,10240,30549,117063,34755,33966,76363,211918,42688,25222,10697,113812,39626,68786,54883,19917,56212,33502,67011,56556,51075,16824,54398,32156,27080,2043632
2/24/21,22765,44384,25983,8412,9918,42701,543728,64220,10263,30631,117395,34868,34094,76705,212970,42742,25450,10714,114086,39877,69238,55297,19954,56337,33629,67125,56724,51204,16935,54545,32253,27119,2052266
2/25/21,22870,44545,26090,8429,9936,42806,546877,64369,10305,30686,117845,34986,34155,77028,214011,42804,25640,10740,114399,40063,69681,55689,20053,56591,33701,67245,56864,51286,16998,54660,32354,27202,2060908
2/26/21,22942,44624,26208,8448,9960,42897,549785,64547,10330,30773,118368,35067,34244,77397,214988,42939,25821,10772,114729,40152,70090,56044,20115,56887,33799,67374,57021,51413,17065,54817,32469,27285,2069370
2/27/21,23002,44739,26285,8463,9978,43036,552532,64636,10359,30811,118787,35185,34352,77693,215795,43027,26017,10808,114987,40329,70426,56376,20144,57056,33820,67497,57185,51525,17110,54974,32595,27353,2076882
2/28/21,23081,44806,26359,8474,9991,43147,555189,64750,10387,30886,119183,35279,34477,77964,216698,43112,26206,10839,115157,40403,70792,56713,20189,57232,33920,67593,57324,51622,17156,55081,32702,27416,2084128
3/1/21,23087,44847,26387,8481,9995,43159,556135,64795,10394,30909,119363,35317,34504,78097,216915,43184,26284,10854,115200,40424,70966,56830,20191,57305,33943,67684,57454,51656,17190,55140,32788,27460,2086938
3/2/21,23102,44909,26457,8495,10001,43227,556885,64818,10401,30911,119423,35355,34544,78194,217109,43224,26337,10864,115310,40496,71072,56990,20191,57330,33960,67780,57490,51686,17206,55208,32833,27473,2089281
3/3/21,23179,45040,26537,8517,10020,43359,559842,64936,10421,30976,119841,35439,34675,78491,218073,43293,26541,10881,115649,40787,71355,57370,20202,57477,34087,67915,57550,51847,17248,55297,32819,27530,2097194
3/4/21,23273,45149,26599,8542,10040,43475,562559,65048,10447,31026,120295,35561,34809,78719,218962,43385,26848,10906,115858,41045,71730,57671,20270,57611,34183,68039,57731,51944,17308,55394,32937,27623,2104987
3/5/21,23339,45225,26657,8556,10062,43604,565417,65139,10467,31099,120636,35702,34922,78948,219888,43462,26964,10924,116161,41146,72053,58033,20309,57763,34284,68182,57904,52064,17352,55495,33061,27690,2112508
3/6/21,23415,45296,26748,8579,10071,43712,567778,65274,10481,31168,120957,35802,35028,79167,220661,43550,27095,10943,116359,41332,72354,58443,20346,57897,34370,68263,58065,52182,17415,55600,33190,27764,2119305
3/7/21,23459,45424,26816,8596,10090,43818,569851,65346,10495,31223,121427,35885,35107,79374,221397,43663,27272,10965,116587,41570,72605,58813,20378,58042,34448,68379,58213,52283,17462,55740,33288,27850,2125866
3/8/21,23462,45440,26860,8604,10097,43857,570719,65385,10503,31238,121621,35973,35145,79429,221584,43722,27315,10978,116667,41596,72826,58912,20406,58138,34493,68435,58336,52332,17512,55810,33328,27877,2128600
3/9/21,23471,45448,26878,8617,10101,43892,571315,65394,10509,31246,121752,36007,35166,79476,221759,43743,27332,10983,116710,41665,72904,59048,20415,58217,34510,68493,58432,52359,17522,55852,33368,27893,2130477
3/10/21,23591,45540,26935,8635,10126,44020,574062,65475,10529,31333,122103,36111,35293,79705,222603,43803,27518,11018,116924,41782,73262,59413,20449,58386,34646,68615,58581,52458,17572,55946,33488,27962,2137884
3/11/21,23651,45634,26989,8657,10140,44040,576521,65475,10553,31401,122461,36219,35397,79897,223370,43888,27631,11038,117119,41969,73597,59794,20499,58547,34725,68763,58710,52540,17621,56032,33589,28019,2144486
3/12/21,23708,45694,27060,8673,10161,44112,578835,65613,10570,31470,122743,36318,35462,80158,224175,43975,27822,11055,117292,42112,73894,60160,20531,58716,34802,68868,58845,52540,17661,56153,33694,28083,2150955
3/13/21,23776,45749,27123,8687,10177,44223,581406,65676,10590,31501,123016,36430,35550,80369,224881,44066,28066,11075,117468,42246,74148,60550,20567,58973,34888,69009,58989,52710,17700,56241,33801,28120,2157771
3/14/21,23841,45780,27178,8695,10198,44337,583698,65726,10601,31570,123474,36501,35632,80609,225477,44141,28191,11081,117606,42289,74517,60812,20617,59111,34972,69126,59129,52779,17745,56375,33898,28169,2163875
3/15/21,23849,45801,27229,8707,10226,44376,584531,65750,10612,31573,123659,36534,35660,80652,225660,44153,28317,11097,117654,42305,74678,60887,20633,59170,34997,69174,59256,52850,17762,56413,33940,28185,2166290
3/16/21,23858,45803,27241,8725,10229,44438,584927,65762,10615,31575,123733,36546,35690,80683,225760,44184,28350,11100,117666,42315,74784,61016,20638,59192,35018,69227,59319,52910,17776,56477,33980,28192,2167729
3/17/21,23868,45812,27258,8734,10233,44444,585348,65772,10623,31583,123749,36564,35714,80703,225871,44196,28381,11104,117710,42398,74871,61148,20646,59227,35020,69242,59346,52943,17790,56508,34004,28197,2169007
3/18/21,23964,45869,27355,8755,10258,44570,587760,65857,10646,31669,124143,36676,35798,80938,226608,44253,28507,11126,117904,42561,75117,61449,20707,59371,35115,69076,59468,53080,17832,56596,34120,28314,2175462
3/19/21,24050,45900,27416,8774,10265,44700,590327,65916,10670,31748,124533,36777,35866,81103,227410,44340,28687,11154,118107,42716,75419,61765,20768,59468,35219,69167,59634,53163,17891,56707,34174,28354,2182188
3/20/21,24098,45952,27465,8789,10285,44803,592456,65991,10687,31800,124788,36882,35944,81256,228018,44410,28804,11168,118248,42807,75685,62082,20810,59558,35323,69288,59752,53282,18010,56806,34269,28394,2187910
3/21/21,24154,45989,27591,8803,10294,44953,594301,66041,10700,31864,125233,36983,36034,81421,228582,44521,28952,11188,118363,42941,75934,62384,20853,59686,35432,69380,59883,53382,18079,56924,34382,28412,2193639
3/22/21,24206,45999,27634,8810,10303,44966,595046,66061,10706,31876,125346,37023,36081,81461,228765,44569,28984,11194,118406,42944,76122,62454,20879,59726,35447,69427,59992,53407,18115,56961,34431,28431,2195772
3/23/21,24227,46009,27658,8824,10313,44996,595468,66070,10717,31884,125374,37039,36100,81499,228864,44587,29000,11197,118441,43001,76211,62558,20888,59762,35465,69482,60033,53432,18145,57004,34462,28450,2197160
3/24/21,24278,46081,27737,8834,10323,45197,597673,66149,10731,31949,125686,37127,36189,81662,229545,44642,29116,11217,118577,43101,76395,62770,20942,59873,35589,69624,60168,53531,18173,57094,34553,28515,2203041
3/25/21,24347,46145,27826,8846,10334,45369,599593,66232,10742,32028,125960,37221,36248,81792,230212,44739,29221,11234,118810,43193,76692,62986,21007,59982,35679,69739,60258,53648,18230,57192,34647,28603,2208755
3/26/21,24392,46205,27920,8864,10344,45530,601373,66329,10749,32095,126328,37328,36336,81919,230870,44836,29366,11250,118928,43276,77002,63226,21051,60081,35740,69887,60413,53891,18284,57326,34733,28670,2214542
3/27/21,24473,46260,27980,8880,10362,45696,603039,66458,10769,32150,126638,37419,36409,82091,231360,44916,29531,11267,119060,43375,77233,63494,21094,60089,35845,70028,60552,54064,18326,57453,34817,28717,2219845
3/28/21,24590,46325,28098,8895,10389,45880,604468,66527,10778,32192,127076,37477,36478,82210,231879,45007,29649,11278,119243,43413,77573,63729,21148,60089,35903,70163,60663,54150,18392,57588,34897,28757,2224904
3/29/21,24653,46339,28118,8904,10401,45892,605041,66563,10780,32196,127183,37509,36498,82239,232012,45035,29661,11281,119380,43431,77691,63815,21167,59986,35938,70197,60747,54171,18405,57611,34928,28778,2226550
3/30/21,24653,46349,28164,8915,10404,45920,605454,66574,10786,32205,127211,37522,36521,82276,232113,45061,29689,11283,119427,43448,77782,63886,21183,60011,35946,70236,60803,54184,18421,57660,34954,28802,2227843
3/31/21,24779,46360,28239,8928,10422,46145,607167,66633,10806,32247,127404,37597,36591,82433,232689,45121,29796,11291,119612,43539,77986,64107,21238,60126,36067,70366,60933,54260,18442,57709,35031,28846,2232910
4/1/21,24880,46404,28334,8958,10447,46333,608872,66715,10820,32316,127725,37696,36661,82617,233538,45250,30048,11315,119881,43614,78194,64368,21302,60223,36204,70488,61060,54337,18478,57794,35103,28912,2238887
4/2/21,24931,46452,28417,8971,10462,46533,610654,66719,10827,32354,127898,37766,36719,82746,234161,45343,30257,11332,120006,43658,78568,64593,21340,60350,36278,70597,61166,54568,18549,57888,35195,28970,2244268
4/3/21,24936,46488,28484,8992,10470,46603,611766,66735,10829,32391,127970,37817,36746,82782,234395,45376,30304,11333,120097,43722,78985,64695,21357,60424,36290,70639,61268,54598,18635,57970,35256,29004,2247357
4/4/21,24945,46504,28540,9007,10489,46632,612417,66743,10834,32401,127992,37845,36776,82800,234542,45424,30337,11338,120162,43729,79068,64880,21370,60428,36293,70671,61364,54643,18643,58049,35313,29016,2249195
4/5/21,24951,46510,28554,9021,10507,46642,612753,66747,10836,32412,128041,37870,36796,82825,234620,45444,30387,11350,120224,43738,79238,64936,21406,60446,36310,70711,61395,54669,18663,58091,35327,29038,2250458
4/6/21,24973,46518,28585,9033,10511,46662,613058,66755,10840,32419,128076,37884,36825,82880,234754,45456,30406,11352,120242,43861,79305,65003,21424,60458,36329,70761,61436,54693,18676,58110,35358,29062,2251705
4/7/21,25027,46651,28684,9049,10527,46820,614446,66827,10869,32496,128241,37956,36900,83021,235312,45550,30406,11381,120335,44063,79496,65187,21489,60581,36431,70906,61597,54777,18763,58175,35456,29090,2256509
4/8/21,25092,46708,28797,9058,10542,47096,615993,66894,10886,32537,128446,38089,37010,83198,235917,45670,30549,11403,120475,44160,79735,65471,21545,60685,36539,71002,61722,54939,18808,58225,35560,29128,2261879
4/9/21,25165,46754,28890,9072,10560,47427,617436,66929,10902,32648,128647,38154,37082,83351,236428,45760,30720,11429,120565,44332,79955,65728,21601,60819,36652,71140,61850,55007,18860,58325,35661,29170,2267019
4/10/21,25216,46806,28962,9084,10576,47910,618837,66971,10926,32693,128801,38259,37164,83481,236913,45836,30833,11447,120717,44518,80140,65990,21652,60975,36728,71262,61976,55101,18901,58431,35737,29221,2272064
4/11/21,25338,46945,29054,9099,10620,48552,620617,67217,10948,32759,128963,38343,37236,83631,237788,45915,30975,11467,120800,44621,80390,66214,21755,61112,36807,71397,62108,55216,18932,58513,35813,29275,2278420
4/12/21,25341,46969,29081,9111,10635,48596,621287,67231,10954,32765,129001,38373,37259,83685,237961,45936,30996,11483,120840,44639,80504,66253,21783,61150,36821,71456,62195,55239,18954,58559,35856,29300,2280213
4/13/21,25353,46972,29120,9121,10637,48656,621687,67243,10962,32780,129023,38419,37277,83734,238299,45964,31009,11485,120865,44693,80608,66308,21800,61157,36838,71492,62282,55273,18970,58595,35890,29328,2281840
4/14/21,25414,47020,29207,9136,10657,48897,623164,67307,10983,32838,129138,38480,37346,83858,238792,46047,31009,11506,120987,44868,80775,66430,21871,61238,36955,71631,62396,55412,18993,58668,35946,29383,2286352
4/15/21,25479,47058,29299,9146,10673,49168,624799,67385,11007,32882,129323,38581,37437,83987,239331,46150,30938,11529,121110,44983,80979,66659,21931,61320,37030,71805,62529,55495,19027,58749,36027,29430,2291246
4/16/21,25532,47096,29385,9161,10689,49378,626047,67431,11027,32949,129437,38691,37511,84093,239725,46212,31016,11551,121235,45086,81238,66848,22021,61411,37102,71935,62658,55549,19060,58788,36119,29454,2295435
4/17/21,25605,47153,29487,9173,10713,49602,627326,67481,11046,32999,129562,38776,37585,84179,240198,46316,31264,11568,121343,45083,81425,67117,22093,61484,37156,72073,62821,55630,19108,58883,36199,29491,2299939
4/18/21,25660,47204,29536,9184,10725,49892,628622,67540,11065,33051,129685,38873,37661,84289,240693,46393,31332,11587,121421,45138,81603,67302,22182,61539,37215,72184,62932,55708,19126,58936,36277,29541,2304096
4/19/21,25666,47208,29560,9193,10728,49916,629218,67553,11072,33060,129711,38888,37684,84309,240823,46423,31374,11590,121473,45149,81670,67329,22213,61583,37237,72223,63035,55745,19133,58967,36314,29555,2305602
4/20/21,25669,47216,29601,9199,10732,49983,629527,67568,11080,33062,129744,38921,37706,84344,240919,46443,31396,11601,121501,45207,81763,67385,22244,61609,37251,72275,63124,55775,19144,59003,36336,29582,2306910
4/21/21,25701,47268,29674,9208,10754,50276,630819,67625,11099,33125,129838,38998,37772,84489,241356,46498,31449,11622,121571,45327,81970,67552,22355,61738,37317,72408,63255,55863,19166,59064,36401,29614,2311172
4/22/21,25747,47318,29751,9227,10766,50521,632255,67668,11111,33162,129949,39088,37835,84618,241813,46687,31608,11646,121687,45427,82138,67635,22442,61897,37371,72552,63393,55959,19227,59138,36494,29681,2315811
4/23/21,25781,47367,29831,9241,10774,50732,633423,67708,11130,33212,130050,39151,37885,84724,242180,46776,31678,11651,121896,45533,82306,67558,22525,61963,37430,72645,63522,56042,19258,59245,36586,29716,2319519
4/24/21,25813,47421,29882,9263,10797,51011,634752,67755,11142,33259,130140,39244,37949,84833,242530,46837,31795,11670,121975,45580,82479,67583,22616,62043,37474,72772,63683,56127,19294,59298,36665,29748,2323430
4/25/21,25853,47469,29947,9283,10824,51312,635689,67794,11162,33302,130230,39305,38012,84937,242784,46901,31874,11693,122057,45625,82639,67503,22717,62119,37510,72921,63844,56197,19321,59373,36754,29787,2326738
4/26/21,25856,47478,29984,9364,10833,51353,636109,67791,11168,33317,130265,39343,38046,84982,242895,46922,31890,11701,122093,45638,82762,67483,22801,62172,37541,72984,63957,56242,19337,59476,36803,29805,2328391
4/27/21,25868,47491,30002,9416,10838,51401,636344,67800,11180,33330,130287,39382,38069,85007,242981,46945,31905,11707,122118,45646,82820,67566,22825,62181,37567,73004,64072,56274,19349,59504,36829,29826,2329534
4/28/21,25903,47535,30065,9462,10865,51627,637401,67854,11206,33364,130399,39442,38128,85096,243315,46990,31976,11718,122234,45727,82977,67662,22905,62265,37636,73098,64199,56368,19373,59579,36896,29861,2333126
4/29/21,25963,47585,30133,9480,10882,51901,638536,67887,11235,33401,130520,39519,38168,85216,243654,47048,32070,11735,122329,45801,83080,67789,23005,62358,37703,73193,64359,56450,19409,59651,36988,29896,2336944
4/30/21,26000,47633,30205,9500,10901,52167,639655,67976,11256,33435,130643,39577,38238,85345,244002,47108,32157,11761,122440,45858,83205,68086,23119,62437,37773,73265,64461,56544,19434,59729,37076,29948,2340934
5/1/21,26037,47699,30279,9512,10924,52456,640705,68025,11282,33554,130731,39654,38287,85436,244255,47158,32239,11782,122560,45971,83318,68275,23247,62509,37822,73360,64608,56642,19455,59804,37177,29992,2344755
5/2/21,26060,47731,30342,9541,10949,52625,641559,68044,11304,33583,130812,39712,38331,85514,244538,47234,32300,11802,122617,46007,83427,68406,23330,62582,37861,73435,64764,56733,19477,59840,37280,30040,2347780
5/3/21,26062,47743,30369,9547,10957,52642,641997,68073,11316,33586,130823,39737,38341,85539,244629,47250,32317,11806,122628,46010,83457,68427,23381,62590,37862,73453,64847,56757,19479,59870,37319,30059,2348873
5/4/21,26067,47761,30388,9562,10976,52670,642270,68079,11320,33593,130838,39780,38350,85557,244721,47284,32339,11817,122655,46016,83492,68447,23405,62598,37898,73476,64928,56784,19486,59909,37352,30082,2349900
5/5/21,26103,47806,30440,9581,11007,52906,643067,68117,11348,33629,130920,39847,38391,85638,244953,47341,32418,11847,122757,46114,83609,68447,23541,62662,37972,73559,65083,56884,19503,59947,37409,30118,2352964
5/6/21,26137,47872,30503,9596,11026,53164,643861,68133,11374,33658,131005,39932,38427,85732,245277,47407,32506,11866,122846,46206,83699,68292,23695,62739,38019,73630,65222,56968,19525,59998,37516,30154,2355985
5/7/21,26154,47926,30567,9615,11039,53299,644697,68166,11403,33684,131042,39997,38447,85825,245541,47467,32554,11882,122914,46241,83807,68346,23886,62811,38070,73684,65323,57059,19551,60048,37587,30199,2358831
5/8/21,26179,48012,30639,9636,11062,53490,645512,68222,11426,33712,130968,40061,38487,85884,245817,47504,32637,11904,123038,46324,83882,68333,24012,62978,38124,73783,65471,57196,19569,60095,37678,30239,2361874
5/9/21,26212,48077,30697,9653,11083,53645,646186,68241,11457,33761,131068,40145,38528,85941,246030,47574,32707,11922,123065,46378,83956,68354,24118,63073,38165,73867,65618,57299,19583,60176,37763,30275,2364617
5/10/21,26223,48103,30724,9673,11089,53659,646448,68259,11472,33762,131083,40186,38539,85967,246080,47615,32720,11927,123119,46392,83986,68362,24217,63126,38179,73903,65718,57349,19589,60201,37804,30318,2365792
5/11/21,26227,48114,30738,9686,11090,53680,646570,68265,11484,33769,131095,40227,38547,85990,246125,47624,32738,11929,123138,46404,83998,68372,24235,63135,38182,73925,65811,57413,19590,60229,37821,30345,2366496
5/12/21,26240,48132,30776,9701,11098,53730,647233,68285,11496,33774,131138,40277,38568,86048,246292,47653,32762,11945,123183,46489,84038,68409,24266,63227,38196,73979,65930,57480,19605,60247,37842,30354,2368393
5/13/21,26266,48227,30856,9722,11125,53875,648011,68340,11542,33806,131202,40372,38585,86136,246516,47703,32847,11959,123231,46578,84116,68433,24438,63324,38286,74052,66058,57583,19647,60324,37939,30384,2371483
5/14/21,26290,48353,30923,9740,11158,54109,648972,68387,11569,33844,131227,40448,38607,86215,246972,47746,32930,11976,123292,46649,84208,68506,24626,63414,38325,74123,66152,57731,19747,60415,38042,30419,2375115
5/15/21,26322,48428,30973,9775,11181,54292,649686,68423,11601,33876,131297,40511,38622,86291,247205,47810,33005,11992,123352,46702,84279,68592,24786,63497,38370,74208,66265,57840,19758,60480,38128,30448,2377995
5/16/21,26338,48483,31032,9795,11195,54421,650406,68445,11632,33905,131366,40571,38644,86360,247452,47872,33073,12004,123431,46720,84359,68628,24948,63546,38417,74270,66386,57955,19777,60559,38228,30472,2380690
5/17/21,26338,48502,31048,9820,11199,54441,650697,68451,11643,33910,131377,40590,38654,86387,247554,47883,33081,12010,123468,46724,84385,68655,25084,63597,38434,74305,66512,58021,19786,60589,38274,30504,2381923
5/18/21,26344,48506,31058,9842,11205,54471,650827,68456,11651,33913,131380,40613,38671,86405,247662,47909,33091,12013,123487,46746,84396,68658,25123,63605,38440,74327,66611,58098,19789,60629,38310,30509,2382745
5/19/21,26369,48562,31121,9873,11230,54585,651520,68490,11676,33939,131456,40647,38690,86464,247923,47940,33224,12034,123578,46794,84467,68715,25259,63706,38495,74384,66720,58241,19797,60682,38410,30521,2385512
5/20/21,26375,48621,31171,9895,11244,54696,651967,68513,11691,33961,131493,40691,38702,86507,248057,47962,33243,12043,123598,46833,84529,68726,25417,63767,38553,74445,66838,58340,19814,60749,38506,30565,2387512
5/21/21,26398,48667,31249,9918,11265,54796,652650,68528,11707,34012,131544,40747,38713,86557,248272,47995,33277,12062,123708,46893,84596,68751,25598,63818,38628,74515,66926,58467,19825,60833,38630,30595,2390140
5/22/21,26410,48733,31337,9962,11274,54975,653180,68551,11747,34034,131589,40812,38735,86625,248446,48027,33314,12079,123800,46920,84696,68793,25734,63878,38686,74605,67094,58593,19839,60900,38748,30628,2392744
5/23/21,26423,48800,31409,10004,11292,55060,653784,68596,11773,34054,131654,40860,38770,86674,248582,48077,33349,12101,123896,46968,84739,68837,25898,63933,38758,74686,67259,58729,19850,60996,38880,30639,2395330
5/24/21,26424,48806,31446,10022,11298,55084,654031,68604,11783,34056,131664,40887,38780,86693,248748,48098,33357,12107,123937,46980,84828,68846,26030,63957,38765,74710,67377,58783,19861,61050,38943,30649,2396604
5/25/21,26428,48829,31466,10034,11304,55107,654137,68612,11791,34058,131666,40892,38796,86711,248789,48107,33361,12111,123957,46984,84849,68853,26080,63958,38772,74749,67483,58825,19868,61078,38985,30667,2397307
5/26/21,26454,48890,31562,10076,11330,55187,654758,68644,11815,34091,131705,40926,38823,86777,248983,48134,33348,12129,124058,47036,84888,68887,26229,64027,38850,74820,67635,58958,19872,61153,39065,30680,2399790
5/27/21,26471,48942,31707,10105,11352,55299,655584,68670,11836,34124,131775,40995,38854,86847,249239,48175,33367,12142,124082,47070,84989,68953,26405,64078,38936,74893,67741,59087,19893,61224,39182,30705,2402722
